,Pattern,Relative SUP,global_dropout_interest,global_dropout_criterion
138,"[1, 8, 11]",0.3078014184397163,0.06298553405167512,0.019387036722288652
99,"[1, 6, 11]",0.3078014184397163,0.06298553405167512,0.019387036722288652
336,"[2, 3, 19]",0.2297872340425532,-0.08431269416585031,0.019373980787046455
11,"[1, 2, 13]",0.25673758865248225,0.07544976153958004,0.019370789842076575
115,"[1, 7]",0.5134751773049645,0.03765997311938424,0.01933746137477602
2018,"[9, 19]",0.2297872340425532,-0.08336992727833976,0.0191573449916185
1616,"[7, 9, 11]",0.3078014184397163,-0.06169533672708176,0.01898991215571169
461,"[2, 9, 21]",0.2028368794326241,-0.09323682727804407,0.018911867093277024
1595,"[7, 8]",0.451063829787234,0.041915292268320414,0.018906472257199845
28,"[1, 3, 6]",0.5134751773049645,-0.03676012835924379,0.018875413427015958
1265,"[5, 12]",0.27375886524822696,0.06885343728249668,0.018849238858896257
797,"[3, 13, 19]",0.2297872340425532,-0.08201000972056281,0.01884485329749103
78,"[1, 5, 11]",0.3078014184397163,0.061154032220173286,0.018823297860677452
439,"[2, 8, 12]",0.27375886524822696,0.06861097612807396,0.018782862968394716
400,"[2, 6, 12]",0.27375886524822696,0.06861097612807396,0.018782862968394716
334,"[2, 3, 12]",0.27375886524822696,-0.06800104572984957,0.018615889114696405
634,"[3, 4, 13]",0.25673758865248225,-0.07190899961955267,0.018461743164736217
2007,"[9, 13, 21]",0.2028368794326241,-0.09093414283275651,0.01844479776607685
205,"[1, 12]",0.27375886524822696,0.06734537088081327,0.01843639231205243
649,"[3, 5, 6]",0.5134751773049645,-0.0357547507581215,0.01835917698502125
846,"[3, 22]",0.14468085106382977,-0.12673906377715005,0.01833671561031107
379,"[2, 5, 12]",0.27375886524822696,0.06677947429657213,0.018281473105302728
1492,"[6, 13, 20]",0.20425531914893616,0.08932423435958295,0.018244949996850984
1853,"[8, 13, 20]",0.20425531914893616,0.08932423435958295,0.018244949996850984
1476,"[6, 12, 13]",0.25673758865248225,0.07091366057336149,0.01820620221812543
1837,"[8, 12, 13]",0.25673758865248225,0.07091366057336149,0.01820620221812543
751,"[3, 10, 13]",0.25673758865248225,-0.07050488757714278,0.01810125482476999
924,"[4, 6, 7]",0.5134751773049645,0.03523709221995462,0.018093372175352583
10,"[1, 2, 12]",0.27375886524822696,0.06577409669544984,0.018006242074073503
1282,"[5, 13, 20]",0.20425531914893616,0.08749273252808111,0.017870856005735715
839,"[3, 21, 25]",0.1375886524822695,-0.12949434449771524,0.01781695236351543
838,"[3, 21, 24]",0.1375886524822695,-0.12949434449771524,0.01781695236351543
837,"[3, 21, 23]",0.1375886524822695,-0.12949434449771524,0.01781695236351543
442,"[2, 8, 20]",0.20425531914893616,0.0870215499142954,0.017774614450579488
403,"[2, 6, 20]",0.20425531914893616,0.0870215499142954,0.017774614450579488
1266,"[5, 12, 13]",0.25673758865248225,0.06908215874185966,0.017735986854293048
222,"[1, 13, 20]",0.20425531914893616,0.08648735492695883,0.017665502282953292
206,"[1, 12, 13]",0.25673758865248225,0.06807678114073737,0.01747786863329569
382,"[2, 5, 20]",0.20425531914893616,0.08519004808279358,0.01740052045946422
417,"[2, 7, 9]",0.451063829787234,-0.03818138548227078,0.017222241962215754
13,"[1, 2, 20]",0.20425531914893616,0.0841846704816713,0.017195166736681797
903,"[4, 5, 7]",0.5134751773049645,0.03340559038845278,0.017152941447687812
1445,"[6, 10, 13]",0.25673758865248225,0.06610713428078074,0.016972186247973496
1806,"[8, 10, 13]",0.25673758865248225,0.06610713428078074,0.016972186247973496
520,"[2, 13]",0.25673758865248225,0.0660855749926543,0.016966651168326848
36,"[1, 3, 19]",0.2297872340425532,-0.0737971653962808,0.016957646516592182
2483,"[13, 20]",0.20425531914893616,0.0826419650737225,0.016880060951228425
782,"[3, 12, 13]",0.25673758865248225,-0.06569836128456201,0.016867238854618046
1615,"[7, 9, 10]",0.3333333333333333,-0.05036089217369415,0.01678696405789805
161,"[1, 9, 21]",0.2028368794326241,-0.08272129850847455,0.01677893005207356
966,"[4, 8, 10]",0.3333333333333333,0.050220831101659875,0.016740277033886624
927,"[4, 6, 10]",0.3333333333333333,0.050220831101659875,0.016740277033886624
657,"[3, 5, 19]",0.2297872340425532,-0.07279178779515853,0.016726623578461962
2032,"[9, 20, 21]",0.2028368794326241,-0.08219923389066523,0.01667303609413493
2048,"[9, 21, 26]",0.1375886524822695,-0.12112153247791228,0.01666494844022339
740,"[3, 9, 24]",0.1375886524822695,-0.12092534536267839,0.01663795531940398
739,"[3, 9, 23]",0.1375886524822695,-0.12092534536267839,0.01663795531940398
741,"[3, 9, 25]",0.1375886524822695,-0.12092534536267839,0.01663795531940398
52,"[1, 4, 7]",0.5134751773049645,0.032400212787330504,0.016636705005693107
930,"[4, 6, 13]",0.25673758865248225,0.06470302223837082,0.016611697908007258
969,"[4, 8, 13]",0.25673758865248225,0.06470302223837082,0.016611697908007258
30,"[1, 3, 8]",0.451063829787234,-0.03676012835924379,0.016581164281190816
1221,"[5, 9, 21]",0.2028368794326241,-0.08171592090735226,0.016575002396810458
1235,"[5, 10, 13]",0.25673758865248225,0.06427563244927892,0.016501970884141112
1088,"[4, 21]",0.2028368794326241,-0.08107191082937994,0.01644437340227139
678,"[3, 6, 19]",0.2297872340425532,-0.07096028596365671,0.016305767838457285
717,"[3, 8, 19]",0.2297872340425532,-0.07096028596365671,0.016305767838457285
